Points	Interferogram
628	-9.41E-05
629	-4.72E-05
630	-3.53E-05
631	-7.04E-05
632	-1.42E-04
633	-2.17E-04
634	-2.61E-04
635	-2.57E-04
636	-2.15E-04
637	-1.63E-04
638	-1.34E-04
639	-1.50E-04
640	-2.07E-04
641	-2.74E-04
642	-3.13E-04
643	-3.02E-04
644	-2.41E-04
645	-1.51E-04
646	-7.82E-05
647	-6.36E-05
648	-1.06E-04
649	-1.59E-04
650	-1.83E-04
651	-1.72E-04
652	-1.38E-04
653	-9.75E-05
654	-7.24E-05
655	-8.75E-05
656	-1.46E-04
657	-2.21E-04
658	-2.81E-04
659	-3.08E-04
660	-3.01E-04
661	-2.59E-04
662	-1.95E-04
663	-1.47E-04
664	-1.52E-04
665	-2.03E-04
666	-2.43E-04
667	-2.24E-04
668	-1.54E-04
669	-7.53E-05
670	-2.81E-05
671	-3.25E-05
672	-8.70E-05
673	-1.61E-04
674	-2.06E-04
675	-1.97E-04
676	-1.53E-04
677	-1.13E-04
678	-1.01E-04
679	-1.15E-04
680	-1.50E-04
681	-2.08E-04
682	-2.74E-04
683	-3.07E-04
684	-2.71E-04
685	-1.83E-04
686	-9.94E-05
687	-7.04E-05
688	-1.11E-04
689	-1.95E-04
690	-2.64E-04
691	-2.52E-04
692	-1.47E-04
693	-1.21E-05
694	7.25E-05
695	6.73E-05
696	-1.58E-05
697	-1.32E-04
698	-2.27E-04
699	-2.67E-04
700	-2.52E-04
701	-2.00E-04
702	-1.39E-04
703	-1.05E-04
704	-1.29E-04
705	-2.15E-04
706	-3.26E-04
707	-3.98E-04
708	-3.70E-04
709	-2.31E-04
710	-4.43E-05
711	8.61E-05
712	9.16E-05
713	-1.19E-05
714	-1.46E-04
715	-2.29E-04
716	-2.21E-04
717	-1.36E-04
718	-3.51E-05
719	1.36E-05
720	-2.11E-05
721	-1.19E-04
722	-2.45E-04
723	-3.66E-04
724	-4.41E-04
725	-4.25E-04
726	-3.17E-04
727	-1.69E-04
728	-5.74E-05
729	-3.47E-05
730	-1.06E-04
731	-2.13E-04
732	-2.62E-04
733	-2.04E-04
734	-7.19E-05
735	4.81E-05
736	8.68E-05
737	2.75E-05
738	-9.52E-05
739	-2.22E-04
740	-3.07E-04
741	-3.38E-04
742	-3.21E-04
743	-2.74E-04
744	-2.25E-04
